Year,Month,Day,Hour (UTC),Minute,Second,CentiSecond,Millis,NumSat,HDOP,LAT,LNG,ALTFT,MPH
2021,5,23,12,48,14,0,141848,3,2.29,38.209438,-85.76209200000001,626.640441,0.149601
2021,5,23,12,48,14,0,142164,3,2.29,38.209438,-85.76209200000001,626.640441,0.149601
2021,5,23,12,48,16,80,142599,3,2.29,38.209434,-85.76209200000001,632.8740230000001,0.149601
2021,5,23,12,48,16,80,142923,3,2.29,38.209434,-85.76209200000001,632.8740230000001,0.149601
2021,5,23,12,48,17,60,143330,3,2.29,38.209434,-85.76209200000001,632.8740230000001,0.10357000000000001
2021,5,23,12,48,17,60,143649,3,2.29,38.209434,-85.76209200000001,632.8740230000001,0.10357000000000001
2021,5,23,12,48,17,60,144024,3,2.29,38.209434,-85.76209200000001,632.8740230000001,0.10357000000000001
2021,5,23,12,48,18,80,144470,3,2.29,38.209434,-85.76209200000001,632.8740230000001,0.023016
2021,5,23,12,48,18,80,144820,3,2.29,38.209434,-85.76209200000001,632.8740230000001,0.023016
2021,5,23,12,48,18,80,145227,3,2.29,38.209434,-85.76209200000001,632.8740230000001,0.023016
2021,5,23,12,48,18,80,145556,3,2.29,38.209434,-85.76209200000001,632.8740230000001,0.023016
2021,5,23,12,48,18,80,145881,3,2.29,38.209434,-85.76209200000001,632.8740230000001,0.023016
2021,5,23,12,48,20,40,146273,3,2.29,38.20943,-85.76209200000001,632.545959,0.023016
2021,5,23,12,48,20,80,146696,3,2.29,38.20943,-85.76209200000001,631.561706,0.023016
2021,5,23,12,48,21,40,147124,3,2.29,38.20943,-85.76209200000001,631.561706,0.046031
2021,5,23,12,48,21,40,147442,3,2.29,38.20943,-85.76209200000001,631.561706,0.046031
2021,5,23,12,48,21,40,147790,3,2.29,38.20943,-85.76209200000001,631.561706,0.046031
2021,5,23,12,48,22,40,148177,3,2.29,38.20943,-85.76209200000001,631.561706,0.115078
2021,5,23,12,48,22,40,148497,3,2.29,38.20943,-85.76209200000001,631.561706,0.115078
2021,5,23,12,48,22,40,148873,3,2.29,38.20943,-85.76209200000001,631.561706,0.115078
2021,5,23,12,48,23,60,149317,3,2.29,38.209426,-85.76209200000001,631.561706,0.10357000000000001
2021,5,23,12,48,23,60,149672,3,2.29,38.209426,-85.76209200000001,631.561706,0.10357000000000001
2021,5,23,12,48,23,60,150025,3,2.29,38.209426,-85.76209200000001,631.561706,0.10357000000000001
2021,5,23,12,48,24,60,150414,3,2.29,38.209426,-85.76209200000001,631.561706,0.023016
2021,5,23,12,48,24,60,150733,3,2.29,38.209426,-85.76209200000001,631.561706,0.023016
2021,5,23,12,48,25,40,151192,3,2.29,38.209426,-85.76209200000001,631.561706,0.023016
2021,5,23,12,48,25,40,151512,3,2.29,38.209426,-85.76209200000001,631.561706,0.023016
2021,5,23,12,48,25,40,151900,3,2.29,38.209426,-85.76209200000001,631.561706,0.023016
2021,5,23,12,48,26,40,152293,5,1.63,38.209396000000005,-85.762107,469.816284,0.023016
2021,5,23,12,48,26,40,152617,5,1.63,38.209396000000005,-85.762107,469.816284,0.023016
2021,5,23,12,48,26,40,153008,5,1.63,38.209396000000005,-85.762107,469.816284,0.023016
2021,5,23,12,48,26,40,153381,5,1.63,38.209396000000005,-85.762107,469.816284,0.023016
2021,5,23,12,48,26,40,153755,5,1.63,38.209396000000005,-85.762107,469.816284,0.023016
2021,5,23,12,48,26,40,154175,5,1.63,38.209396000000005,-85.762107,469.816284,0.023016
2021,5,23,12,48,26,40,154548,5,1.63,38.209396000000005,-85.762107,469.816284,0.023016
2021,5,23,12,48,28,80,154942,5,1.63,38.209396000000005,-85.7621,458.00524900000005,0.023016
2021,5,23,12,48,29,40,155386,5,1.63,38.209396000000005,-85.7621,458.00524900000005,0.080555
2021,5,23,12,48,29,40,155708,5,1.63,38.209396000000005,-85.7621,458.00524900000005,0.080555
2021,5,23,12,48,29,40,156084,5,1.63,38.209396000000005,-85.7621,458.00524900000005,0.080555
2021,5,23,12,48,29,40,156487,5,1.63,38.209396000000005,-85.7621,458.00524900000005,0.080555
2021,5,23,12,48,29,40,156884,5,1.63,38.209396000000005,-85.7621,458.00524900000005,0.080555
2021,5,23,12,48,31,20,157291,5,1.63,38.2094,-85.7621,480.314971,0.080555
2021,5,23,12,48,31,20,157642,5,1.63,38.2094,-85.7621,480.314971,0.080555
2021,5,23,12,48,31,20,158012,5,1.63,38.2094,-85.7621,480.314971,0.080555
2021,5,23,12,48,31,20,158413,5,1.63,38.2094,-85.7621,480.314971,0.080555
2021,5,23,12,48,31,20,158787,5,1.63,38.2094,-85.7621,480.314971,0.080555
2021,5,23,12,48,31,20,159215,5,1.63,38.2094,-85.7621,480.314971,0.080555
2021,5,23,12,48,31,20,159587,5,1.63,38.2094,-85.7621,480.314971,0.080555
2021,5,23,12,48,31,20,159962,5,1.63,38.2094,-85.7621,480.314971,0.080555
2021,5,23,12,48,34,40,160406,5,1.63,38.2094,-85.7621,480.314971,0.069047
2021,5,23,12,48,34,40,160728,5,1.63,38.2094,-85.7621,480.314971,0.069047
2021,5,23,12,48,35,0,161135,5,1.63,38.209403,-85.7621,485.236206,0.069047
2021,5,23,12,48,35,0,161562,5,1.63,38.209403,-85.7621,485.236206,0.069047
2021,5,23,12,48,36,0,162008,5,1.63,38.209403,-85.7621,485.236206,0.011508
2021,5,23,12,48,36,0,162327,5,1.63,38.209403,-85.7621,485.236206,0.011508
2021,5,23,12,48,36,60,162716,5,1.63,38.209403,-85.7621,488.84515300000004,0.011508
2021,5,23,12,48,36,60,163043,5,1.63,38.209403,-85.7621,488.84515300000004,0.011508
2021,5,23,12,48,37,40,163454,5,1.63,38.209403,-85.7621,488.84515300000004,0.092062
2021,5,23,12,48,37,40,163806,5,1.63,38.209403,-85.7621,488.84515300000004,0.092062
2021,5,23,12,48,38,20,164256,5,1.63,38.209403,-85.7621,488.84515300000004,0.034523000000000005
2021,5,23,12,48,38,20,164576,5,1.63,38.209403,-85.7621,488.84515300000004,0.034523000000000005
2021,5,23,12,48,38,80,164984,5,1.63,38.209403,-85.7621,489.50134199999997,0.034523000000000005
2021,5,23,12,48,38,80,165335,5,1.63,38.209403,-85.7621,489.50134199999997,0.034523000000000005
2021,5,23,12,48,38,80,165705,5,1.63,38.209403,-85.7621,489.50134199999997,0.034523000000000005
2021,5,23,12,48,40,0,166124,5,1.63,38.209403,-85.7621,489.50134199999997,0.057539
2021,5,23,12,48,40,0,166446,5,1.63,38.209403,-85.7621,489.50134199999997,0.057539
2021,5,23,12,48,40,0,166825,5,1.63,38.209403,-85.7621,489.50134199999997,0.057539
2021,5,23,12,48,40,0,167181,5,1.63,38.209403,-85.7621,489.50134199999997,0.057539
2021,5,23,12,48,41,60,167572,5,1.63,38.209403,-85.7621,489.50134199999997,0.023016
2021,5,23,12,48,41,60,167894,5,1.63,38.209403,-85.7621,489.50134199999997,0.023016
2021,5,23,12,48,41,60,168276,5,1.63,38.209403,-85.7621,489.50134199999997,0.023016
2021,5,23,12,48,41,60,168722,5,1.63,38.209403,-85.7621,489.50134199999997,0.023016
2021,5,23,12,48,41,60,169072,5,1.63,38.209403,-85.7621,489.50134199999997,0.023016
2021,5,23,12,48,41,60,169498,5,1.63,38.209403,-85.7621,489.50134199999997,0.023016
2021,5,23,12,48,41,60,169848,5,1.63,38.209403,-85.7621,489.50134199999997,0.023016
2021,5,23,12,48,44,20,170238,5,1.63,38.209403,-85.7621,489.50134199999997,0.034523000000000005
2021,5,23,12,48,44,20,170558,5,1.63,38.209403,-85.7621,489.50134199999997,0.034523000000000005
2021,5,23,12,48,45,0,171030,5,1.63,38.209403,-85.7621,489.50134199999997,0.092062
2021,5,23,12,48,45,0,171347,5,1.63,38.209403,-85.7621,489.50134199999997,0.092062
2021,5,23,12,48,45,0,171761,5,1.63,38.209403,-85.7621,489.50134199999997,0.092062
2021,5,23,12,48,46,20,172158,5,1.63,38.209403,-85.7621,489.50134199999997,0.149601
2021,5,23,12,48,46,20,172479,5,1.63,38.209403,-85.7621,489.50134199999997,0.149601
2021,5,23,12,48,46,20,172863,5,1.63,38.209403,-85.7621,489.50134199999997,0.149601
2021,5,23,12,48,47,20,173317,5,1.63,38.2094,-85.7621,490.813629,0.149601
2021,5,23,12,48,47,20,173743,5,1.63,38.2094,-85.7621,490.813629,0.149601
2021,5,23,12,48,48,20,174187,5,1.63,38.2094,-85.7621,490.813629,0.092062
2021,5,23,12,48,48,20,174507,5,1.63,38.2094,-85.7621,490.813629,0.092062
2021,5,23,12,48,48,20,174854,9,27.0,38.2094,-85.7621,490.813629,0.092062
2021,5,23,12,48,48,20,175175,9,27.0,38.2094,-85.7621,490.813629,0.092062
2021,5,23,12,48,49,40,175616,5,1.63,38.2094,-85.7621,488.18899500000003,0.092062
2021,5,23,12,48,49,40,176012,5,1.63,38.2094,-85.7621,488.18899500000003,0.092062
2021,5,23,12,48,49,40,176441,5,1.63,38.2094,-85.7621,488.18899500000003,0.092062
2021,5,23,12,48,49,40,176792,5,1.63,38.2094,-85.7621,488.18899500000003,0.092062
2021,5,23,12,48,49,40,177162,5,1.63,38.2094,-85.7621,488.18899500000003,0.092062
2021,5,23,12,48,49,40,177513,5,1.63,38.2094,-85.7621,488.18899500000003,0.092062
2021,5,23,12,48,49,40,177905,5,1.63,38.2094,-85.7621,488.18899500000003,0.092062
2021,5,23,12,48,49,40,178336,5,1.63,38.2094,-85.7621,488.18899500000003,0.092062
2021,5,23,12,48,49,40,178701,5,1.63,38.2094,-85.7621,488.18899500000003,0.092062
2021,5,23,12,48,52,60,179045,6,1.41,38.2094,-85.7621,481.62731900000006,0.092062
2021,5,23,12,48,53,40,179495,6,1.41,38.2094,-85.7621,481.62731900000006,0.057539
2021,5,23,12,48,53,40,179816,6,1.41,38.2094,-85.7621,481.62731900000006,0.057539
2021,5,23,12,48,53,40,180220,6,1.41,38.2094,-85.7621,481.62731900000006,0.057539
2021,5,23,12,48,53,40,180648,6,1.41,38.2094,-85.7621,481.62731900000006,0.057539
2021,5,23,12,48,53,40,181079,6,1.41,38.2094,-85.7621,481.62731900000006,0.057539
2021,5,23,12,48,53,40,181445,6,1.41,38.2094,-85.7621,481.62731900000006,0.057539
2021,5,23,12,48,55,60,181838,6,1.41,38.209403,-85.7621,477.690277,0.057539
2021,5,23,12,48,55,60,182165,6,1.41,38.209403,-85.7621,477.690277,0.057539
2021,5,23,12,48,55,60,182552,6,1.41,38.209403,-85.7621,477.690277,0.057539
2021,5,23,12,48,55,60,182982,6,1.41,38.209403,-85.7621,477.690277,0.057539
2021,5,23,12,48,57,20,183374,6,1.41,38.209403,-85.7621,477.690277,0.080555
2021,5,23,12,48,57,20,183695,6,1.41,38.209403,-85.7621,477.690277,0.080555
2021,5,23,12,48,58,0,184098,6,1.41,38.209403,-85.7621,477.690277,0.046031
2021,5,23,12,48,58,0,184417,6,1.41,38.209403,-85.7621,477.690277,0.046031
2021,5,23,12,48,58,80,184821,6,1.41,38.209403,-85.7621,477.690277,0.10357000000000001
2021,5,23,12,48,58,80,185171,6,1.41,38.209403,-85.7621,477.690277,0.10357000000000001
2021,5,23,12,48,58,80,185546,6,1.41,38.209403,-85.7621,477.690277,0.10357000000000001
2021,5,23,12,48,59,80,185939,6,1.41,38.2094,-85.76209200000001,477.690277,0.080555
2021,5,23,12,48,59,80,186261,6,1.41,38.2094,-85.76209200000001,477.690277,0.080555
2021,5,23,12,49,0,60,186639,6,1.41,38.2094,-85.76209200000001,477.690277,0.011508
2021,5,23,12,49,0,60,186957,6,1.41,38.2094,-85.76209200000001,477.690277,0.011508
2021,5,23,12,49,0,60,187326,6,1.41,38.2094,-85.76209200000001,477.690277,0.011508
2021,5,23,12,49,1,80,187770,6,1.41,38.2094,-85.76209200000001,477.690277,0.0
2021,5,23,12,49,1,80,188088,6,1.41,38.2094,-85.76209200000001,477.690277,0.0
2021,5,23,12,49,1,80,188495,6,1.41,38.2094,-85.76209200000001,477.690277,0.0
2021,5,23,12,49,1,80,188924,6,1.41,38.2094,-85.76209200000001,477.690277,0.0
2021,5,23,12,49,1,80,189352,6,1.41,38.2094,-85.76209200000001,477.690277,0.0
2021,5,23,12,49,3,80,189793,6,1.41,38.2094,-85.76209200000001,477.690277,0.023016
2021,5,23,12,49,3,80,190142,6,1.41,38.2094,-85.76209200000001,477.690277,0.023016
2021,5,23,12,49,3,80,190498,6,1.41,38.2094,-85.76209200000001,477.690277,0.023016
2021,5,23,12,49,3,80,190927,6,1.41,38.2094,-85.76209200000001,477.690277,0.023016
2021,5,23,12,49,3,80,191294,6,1.41,38.2094,-85.76209200000001,477.690277,0.023016
2021,5,23,12,49,5,60,191681,6,1.41,38.209396000000005,-85.76209200000001,477.690277,0.023016
2021,5,23,12,49,5,60,192000,6,1.41,38.209396000000005,-85.76209200000001,477.690277,0.023016
2021,5,23,12,49,6,40,192466,6,1.41,38.209396000000005,-85.76209200000001,477.690277,0.034523000000000005
2021,5,23,12,49,6,40,192786,6,1.41,38.209396000000005,-85.76209200000001,477.690277,0.034523000000000005
2021,5,23,12,49,6,40,193168,6,1.41,38.209396000000005,-85.76209200000001,477.690277,0.034523000000000005
2021,5,23,12,49,6,40,193599,6,1.41,38.209396000000005,-85.76209200000001,477.690277,0.034523000000000005
2021,5,23,12,49,8,0,194019,6,1.41,38.209396000000005,-85.76209200000001,477.690277,0.080555
2021,5,23,12,49,8,0,194336,6,1.41,38.209396000000005,-85.76209200000001,477.690277,0.080555
2021,5,23,12,49,8,60,194751,6,1.41,38.209396000000005,-85.76209200000001,462.926513,0.080555
2021,5,23,12,49,8,60,195181,6,1.41,38.209396000000005,-85.76209200000001,462.926513,0.080555
2021,5,23,12,49,8,60,195609,6,1.41,38.209396000000005,-85.76209200000001,462.926513,0.080555
2021,5,23,12,49,10,0,196031,6,1.41,38.209396000000005,-85.76209200000001,462.926513,0.023016
2021,5,23,12,49,10,0,196350,6,1.41,38.209396000000005,-85.76209200000001,462.926513,0.023016
2021,5,23,12,49,10,60,196741,6,1.41,38.209396000000005,-85.76209200000001,460.958007,0.023016
2021,5,23,12,49,10,60,197090,6,1.41,38.209396000000005,-85.76209200000001,460.958007,0.023016
2021,5,23,12,49,11,60,197567,6,1.41,38.209396000000005,-85.76209200000001,460.958007,0.046031
2021,5,23,12,49,11,60,197888,6,1.41,38.209396000000005,-85.76209200000001,460.958007,0.046031
2021,5,23,12,49,11,60,198276,6,1.41,38.209396000000005,-85.76209200000001,460.958007,0.046031
2021,5,23,12,49,11,60,198648,6,1.41,38.209396000000005,-85.76209200000001,460.958007,0.046031
2021,5,23,12,49,13,0,199044,6,1.41,38.209396000000005,-85.762084,460.958007,0.161109
2021,5,23,12,49,13,0,199363,6,1.41,38.209396000000005,-85.762084,460.958007,0.161109
2021,5,23,12,49,13,80,199823,6,1.41,38.209392,-85.762084,460.958007,0.046031
2021,5,23,12,49,13,80,200142,6,1.41,38.209392,-85.762084,460.958007,0.046031
