time,LP1,LP2,LP3,LP4,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,temp
506,4064,4054,4065,4066,0,0,0,-50,-8,-63,-1
512,4064,4055,4065,4066,0,0,0,-50,-8,-63,-1
516,4065,4054,4066,4065,0,0,-63,-50,-8,-63,-1
521,4066,4055,4066,4066,0,0,-63,-50,-8,-63,-1
527,4066,4054,4066,4065,-63,0,-63,-50,-8,-63,-1
532,4065,4054,4066,4066,-63,0,0,-50,-8,-63,-1
537,4065,4055,4065,4066,-63,0,0,-50,-8,-63,-1
542,4066,4055,4066,4066,-63,0,0,-50,-8,-63,-1
547,4066,4055,4064,4066,0,0,0,-50,-8,-63,-1
552,4065,4055,4066,4065,0,0,0,-50,-8,-63,-1
557,4066,4055,4064,4066,0,0,0,-50,-8,-63,-1
562,4066,4054,4065,4065,-63,0,0,-50,-8,-63,-1
567,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
572,4066,4055,4066,4065,0,0,0,-50,-8,-63,-1
577,4065,4055,4065,4065,0,-63,0,-50,-8,-63,-1
582,4065,4055,4065,4067,0,-63,0,-50,-8,-63,-1
587,4065,4055,4065,4065,0,0,0,-50,-8,-63,-1
592,4066,4055,4066,4066,0,0,0,-50,-8,-63,-1
596,4064,4055,4066,4066,0,0,0,-50,-8,-63,-1
601,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
606,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
612,4066,4055,4066,4066,-63,0,0,-50,-8,-63,-1
616,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
621,4066,4054,4064,4065,-63,0,0,-50,-8,-63,-1
627,4064,4054,4064,4065,0,0,0,-50,-8,-63,-1
632,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
637,4066,4054,4066,4066,0,0,0,-50,-8,-63,-1
642,4066,4055,4065,4067,0,0,0,-50,-8,-63,-1
647,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
652,4065,4054,4065,4066,-63,0,0,-50,-8,-63,-1
657,4066,4054,4065,4067,-63,0,0,-50,-8,-63,-1
662,4066,4055,4065,4065,-63,0,0,-50,-8,-63,-1
667,4065,4055,4066,4065,0,0,0,-50,-8,-63,-1
672,4065,4054,4065,4067,0,0,0,-50,-8,-63,-1
676,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
681,4066,4055,4065,4065,0,0,0,-50,-8,-63,-1
686,4066,4054,4065,4066,-63,0,0,-50,-8,-63,-1
692,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
696,4066,4054,4065,4065,-63,0,0,-50,-8,-63,-1
701,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
706,4066,4054,4065,4065,0,0,0,-50,-8,-63,-1
711,4066,4055,4065,4065,0,0,0,-50,-8,-63,-1
716,4065,4055,4066,4066,0,0,0,-50,-8,-63,-1
721,4065,4054,4065,4065,0,0,0,-50,-8,-63,-1
726,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
732,4065,4054,4065,4065,0,0,0,-50,-8,-63,-1
736,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
